stateid,weekid,dose1,dose2
MP,23,4480236,302148
MP,24,1337997,455718
MP,25,1345679,976357
MP,26,1040002,225132
MP,27,2118982,534334
MP,28,3543073,620699
MP,29,2381073,472778
MP,30,2453352,451853
MZ,1,1870,0
MZ,2,6107,0
MZ,3,1493,0
MZ,4,709,75
MZ,5,4505,2159
MZ,6,7238,3398
MZ,7,12105,3543
MZ,8,11726,939
MZ,9,6739,2017
MZ,10,3005,1460
MZ,11,1540,1279
MZ,12,16568,6713
MZ,13,48569,10105
MZ,14,48591,8657
MZ,15,43102,4472
MZ,16,17307,2215
MZ,17,7644,3935
MZ,18,13383,16
MZ,19,10096,104
MZ,20,10024,128
MZ,21,19547,1104
MZ,22,84167,335
MZ,23,121106,586
MZ,24,43352,6433
MZ,25,42814,28389
MZ,26,25979,39446
MZ,27,17275,44035
MZ,28,12488,25407
MZ,29,14285,8002
MZ,30,6775,12739
NL,1,1574,0
NL,2,1955,0
NL,3,563,0
NL,4,4949,0
NL,5,10760,3438
NL,6,7607,1562
NL,7,4492,549
NL,8,6971,3567
NL,9,7507,5901
NL,10,8497,5999
NL,11,6977,2354
NL,12,14040,2888
NL,13,32635,4269
NL,14,28724,4520
NL,15,22311,5243
NL,16,12690,6099
NL,17,9802,5388
NL,18,13437,78
NL,19,15068,75
NL,20,19282,119
NL,21,50681,299
NL,22,61452,700
NL,23,61613,1803
NL,24,52805,9616
NL,25,45765,23291
NL,26,42855,25080
NL,27,47226,22436
NL,28,23702,13892
NL,29,13878,7811
NL,30,9561,10963
OR,1,89092,0
OR,2,69237,0
OR,3,62072,0
OR,4,139802,3
OR,5,59049,70538
OR,6,21283,62750
OR,7,138775,31964
OR,8,221962,104007
OR,9,510834,53989
OR,10,430553,26073
OR,11,650768,45612
OR,12,1210986,88610
OR,13,656520,119490
OR,14,472720,190291
OR,15,204503,140252
OR,16,118278,200530
OR,17,199850,271268
OR,18,403739,35874
OR,19,578266,29373
OR,20,539812,34276
OR,21,569874,124846
OR,22,671259,176927
OR,23,1497362,215934
OR,24,479221,183594
OR,25,730829,510608
OR,26,463003,355093
OR,27,597235,536092
OR,28,796722,307479
OR,29,1143479,234799
OR,30,1282572,324652
PB,1,16519,0
PB,2,29129,0
PB,3,18751,0
PB,4,27589,62
PB,5,24720,12229
PB,6,32491,20203
PB,7,59316,13338
PB,8,85862,18972
PB,9,151231,19958
PB,10,207963,16206
PB,11,380030,18105
PB,12,584632,32234
PB,13,527457,138914
PB,14,470970,86555
PB,15,405841,121684
PB,16,251366,129499
PB,17,215032,109897
PB,18,154749,19321
PB,19,163373,33459
PB,20,272280,29433
PB,21,290780,22050
PB,22,165350,30184
PB,23,611485,105756
PB,24,564016,205273
PB,25,334440,158426
PB,26,440082,208682
PB,27,234134,199921
PB,28,472618,212914
PB,29,668889,239647
PB,30,544924,315711
PY,1,813,0
PY,2,1256,0
PY,3,915,0
PY,4,2259,68
PY,5,3740,739
PY,6,1066,398
PY,7,4916,1011
PY,8,8444,1400
PY,9,14880,1801
PY,10,17829,942
PY,11,18143,1320
PY,12,12935,1936
PY,13,62923,56100
PY,14,11770,0
PY,15,8532,55
PY,16,6300,800
PY,17,6317,726
PY,18,10720,2
PY,19,18689,11
PY,20,22439,14
PY,21,37002,27
PY,22,82298,87
PY,23,62436,378
PY,24,37659,5010
PY,25,25635,34248
PY,26,37986,20767
PY,27,27745,10740
PY,28,26086,6912
PY,29,24601,4988
PY,30,19944,6756
RJ,1,47915,0
RJ,2,260008,0
RJ,3,126859,0
RJ,4,150788,0
RJ,5,187668,36825
RJ,6,16240,184117
RJ,7,915155,98478
RJ,8,648245,124376
RJ,9,1127685,189443
RJ,10,1112215,27122
RJ,11,975225,141525
RJ,12,2880719,312989
RJ,13,881931,250727
RJ,14,967612,543249
RJ,15,537635,339558
RJ,16,599274,403010
RJ,17,716229,332660
RJ,18,767046,41975
RJ,19,750240,65050
RJ,20,776273,126025
RJ,21,1828120,116780
RJ,22,1206696,55582
RJ,23,2710837,407036
RJ,24,1138425,540541
RJ,25,334966,330302
RJ,26,1161326,847280
RJ,27,1095512,763765
RJ,28,1051523,1218175
RJ,29,1738380,747531
RJ,30,1821035,739438
SK,1,299,0
SK,2,1408,0
SK,3,3382,0
SK,4,2953,0
SK,5,4180,699
SK,6,5425,766
SK,7,7574,2791
SK,8,13895,3329
SK,9,12503,2529
SK,10,8783,2809
SK,11,6542,444
SK,12,33019,1871
SK,13,39431,5491
SK,14,14185,11141
SK,15,7785,11726
SK,16,3413,10773
SK,17,1426,5225
SK,18,8463,43
SK,19,4572,16
SK,20,676,61
SK,21,33676,85
SK,22,85132,112
SK,23,72812,1686
SK,24,44863,23584
SK,25,25728,33281
SK,26,22258,17637
SK,27,17658,8405
SK,28,8597,3601
SK,29,6516,2638
SK,30,3675,7299
TG,1,26183,0
TG,2,68817,0
TG,3,40977,0
TG,4,73813,1929
TG,5,67727,77733
TG,6,13908,48002
TG,7,70657,31052
TG,8,101039,49366
TG,9,136218,11761
TG,10,185426,10709
TG,11,401078,18656
TG,12,577584,47348
TG,13,821537,70725
TG,14,915083,136500
TG,15,657889,125830
TG,16,230780,184711
TG,17,63203,249388
TG,18,5288,9671
TG,19,215566,171938
TG,20,602025,56939
TG,21,1213222,40586
TG,22,1196291,42555
TG,23,1165899,91356
TG,24,1089154,215383
TG,25,478232,285436
TG,26,450695,421780
TG,27,201798,541368
TG,28,179850,542890
TG,29,340210,410166
TG,30,483540,258336
TN,1,31127,0
TN,2,45807,0
